INSTRUCTION, NextState, PC, PSR, R0, R1, R2, R3, R4, R5, R6, R7
0000, 21, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
5020, 21, 0001, 0002, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
5260, 21, 0002, 0002, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
201d, 21, 0003, 0001, 1234, 0000, 0000, 0000, 0000, 0000, 0000, 0000
e21d, 21, 0004, 0001, 1234, 0021, 0000, 0000, 0000, 0000, 0000, 0000
6040, 21, 0005, 0004, 8888, 0021, 0000, 0000, 0000, 0000, 0000, 0000
301c, 21, 0006, 0004, 8888, 0021, 0000, 0000, 0000, 0000, 0000, 0000
e21c, 21, 0007, 0004, 8888, 0023, 0000, 0000, 0000, 0000, 0000, 0000
7040, 21, 0008, 0004, 8888, 0023, 0000, 0000, 0000, 0000, 0000, 0000
5020, 21, 0009, 0002, 0000, 0023, 0000, 0000, 0000, 0000, 0000, 0000
5260, 21, 000a, 0002, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000
e019, 21, 000b, 0002, 0024, 0000, 0000, 0000, 0000, 0000, 0000, 0000
e219, 21, 000c, 0002, 0024, 0025, 0000, 0000, 0000, 0000, 0000, 0000
7200, 21, 000d, 0002, 0024, 0025, 0000, 0000, 0000, 0000, 0000, 0000
a416, 21, 000e, 0004, 0024, 0025, 9090, 0000, 0000, 0000, 0000, 0000
14aa, 21, 000f, 0004, 0024, 0025, 909a, 0000, 0000, 0000, 0000, 0000
b414, 21, 0010, 0004, 0024, 0025, 909a, 0000, 0000, 0000, 0000, 0000
2015, 21, 0011, 0001, 000a, 0025, 909a, 0000, 0000, 0000, 0000, 0000
2215, 21, 0012, 0001, 000a, 0014, 909a, 0000, 0000, 0000, 0000, 0000
1401, 21, 0013, 0001, 000a, 0014, 001e, 0000, 0000, 0000, 0000, 0000
0202, 21, 0016, 0001, 000a, 0014, 001e, 0000, 0000, 0000, 0000, 0000
2611, 21, 0017, 0004, 000a, 0014, 001e, ffff, 0000, 0000, 0000, 0000
4804, 21, 001c, 0004, 000a, 0014, 001e, ffff, 0000, 0000, 0000, 0018
1441, 21, 001d, 0001, 000a, 0014, 0028, ffff, 0000, 0000, 0000, 0018
1441, 21, 001e, 0001, 000a, 0014, 0028, ffff, 0000, 0000, 0000, 0018
c1c0, 21, 0018, 0001, 000a, 0014, 0028, ffff, 0000, 0000, 0000, 0018
e803, 21, 0019, 0001, 000a, 0014, 0028, ffff, 001c, 0000, 0000, 0018
4100, 21, 001c, 0001, 000a, 0014, 0028, ffff, 001c, 0000, 0000, 001a
1441, 21, 001d, 0001, 000a, 0014, 0028, ffff, 001c, 0000, 0000, 001a
1441, 21, 001e, 0001, 000a, 0014, 0028, ffff, 001c, 0000, 0000, 001a
c1c0, 21, 001a, 0001, 000a, 0014, 0028, ffff, 001c, 0000, 0000, 001a
e804, 21, 001b, 0001, 000a, 0014, 0028, ffff, 001f, 0000, 0000, 001a
c100, 21, 001f, 0001, 000a, 0014, 0028, ffff, 001f, 0000, 0000, 001a
